,PARCHEGGIO,PROVINCIA,DENOMINAZIONE,SITO WEB,ACCESSO AI DISABILI,TELEFONO,COMUNE,INDIRIZZO,EMAIL,LAGO,FITNESS,SAUNA,ARIA CONDIZIONATA,ANIMALI AMMESSI,PISCINA,PISCINA COPERTA
2871,Vero,VICENZA,RUTZER,www.rutzer.com,Falso,0424462591,ASIAGO,Via Berga,info@rutzer.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2872,Vero,VICENZA,SAN MARCO,www.hotelsanmarcoenego.it,Falso,0424490130,ENEGO,Piazza San Marco,info@hotelsanmarcoenego.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2873,Vero,VICENZA,SAN VITALE,,Falso,0444698071,MONTECCHIO MAGGIORE,Via Bivio San Vitale,ristorantesanvitale@gmail.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2874,Vero,VICENZA,SCALDAFERRO,www.hotelscaldaferro.it,Falso,0444462669 - 0444462186,SANDRIGO,Via Scaldaferro,info@osteriascaldaferro.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2875,Vero,VICENZA,SIRIO LIFE,www.hotelsiriolifevicenza.it,Vero,0445960407,TRISSINO,Via Belvedere,info@hotelsiriolifevicenza.it,Falso,Vero,Vero,Falso,Falso,Falso,Falso
2876,Vero,VICENZA,VALBELLA,www.albergovalbella.com,Falso,0424449839,GALLIO,Via Valbella,info@albergovalbella.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2877,Falso,VICENZA,VERONA,www.albergoverona.it,Falso,044575010,RECOARO TERME,Via Roma,hotelverona@recoaroterme.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2878,Vero,VICENZA,VICTORIA,www.hotelvictoria-bassano.com,Falso,0424503620,BASSANO DEL GRAPPA,Viale Diaz,info@hotelvictoria-bassano.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2879,Vero,VICENZA,CORTE QUADRI,www.cortequadri.it,Falso,0444834008,LONIGO,Via Pontespin,hotel@cortequadri.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2880,Vero,VICENZA,HOTEL DOGE,www.hoteldoge-vi.it,Falso,0444923616 - 0444923881,VICENZA,Via A. Lamarmora,info@hoteldoge-vi.it,Falso,Vero,Falso,Vero,Falso,Falso,Falso
2881,Vero,VICENZA,HOTEL ROSA PURPUREA,www.rosapurpurea.it,Falso,0445401487,VALDAGNO,VIA NICCOLO' COPERNICO,info@rosapurpurea.it,Falso,Falso,Vero,Vero,Falso,Falso,Falso
2882,Vero,VICENZA,LA FRACANZANA,www.lafracanzanahotel.com,Falso,0444649521,MONTEBELLO VICENTINO,VIA FRACANZANA,info@lafracanzanahotel.com,Falso,Falso,Vero,Vero,Vero,Falso,Falso
2883,Vero,VICENZA,RELAX HOTEL ERICA,www.hotelerica.it,Falso,0424462113,ASIAGO,Via Giuseppe Garibaldi,info@hotelerica.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2884,Vero,VICENZA,AL CAMIN,www.hotelalcamin.com,Falso,0424566134,CASSOLA,Via Valsugana,info@hotelalcamin.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2885,Vero,VICENZA,ALFA FIERA HOTEL,www.alfafierahotel.it,Falso,0444565455,VICENZA,Via Dell'Oreficeria,info@alfafierahotel.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2886,Vero,VICENZA,ANTICO HOTEL VICENZA,,Falso,04441573422,VICENZA,STRADELLA DEI NODARI,info@anticohotelvicenza.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2887,Vero,VICENZA,BEST WESTERN HOTEL PALLADIO,www.bonotto.it,Falso,0424523777,BASSANO DEL GRAPPA,Via Gramsci,palladiohotel@bonotto.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2888,Vero,VICENZA,BEST WESTERN HOTEL TRE TORRI,www.hoteltretorri.it,Falso,0444572411,ALTAVILLA VICENTINA,Via Tavernelle,info@hoteltretorri.it,Falso,Vero,Falso,Vero,Vero,Falso,Falso
2889,Vero,VICENZA,BONOTTO HOTEL BELVEDERE,www.bonotto.it,Falso,0424529845,BASSANO DEL GRAPPA,Piazzale Giardino,belvederehotel@bonotto.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2890,Vero,VICENZA,CAMPO MARZIO,www.hotelcampomarzio.com,Falso,0444545700,VICENZA,Viale Roma,info@hotelcampomarzio.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2891,Vero,VICENZA,DA PORTO HOTEL,www.hoteldaporto.com,Vero,0444964848,VICENZA,Viale del Sole,info@hoteldaporto.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2892,Vero,VICENZA,G BOUTIQUE HOTEL,www.gboutiquehotel.com,Vero,0444326458,VICENZA,Viale Giuriolo,booking@gboutiquehotel.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2893,Vero,VICENZA,GENZIANA,www.hotelristorantegenziana.com,Falso,0444572159 - 0444572398,ALTAVILLA VICENTINA,Via Mazzini,hotelgenziana@abnet.it,Falso,Falso,Falso,Vero,Falso,Vero,Falso
2894,Vero,VICENZA,GLAMOUR HOTEL,www.hotelglamour.it,Falso,0424566765,CASSOLA,Via Valsugana,info@hotelglamour.eu,Falso,Vero,Falso,Vero,Vero,Falso,Falso
2895,Vero,VICENZA,GOLF HOTEL VILLA BONOMO,www.hotelvillabonomo.it,Falso,0424460408,ASIAGO,Via Pennar,info@hotelvillabonomo.it,Falso,Falso,Vero,Falso,Vero,Falso,Falso
2896,Vero,VICENZA,HOTEL AC VICENZA,www.ac-hotels.com,Falso,0444523611,CREAZZO,Via G. Carducci,acvicenza@ac-hotels.com,Falso,Vero,Falso,Vero,Vero,Falso,Falso
2897,Vero,VICENZA,HOTEL EUROPA RESIDENCE,www.hoteleuroparesidence.it,Falso,0424462659,ASIAGO,Via IV Novembre,info@hoteleuroparesidence.it,Falso,Vero,Vero,Vero,Falso,Falso,Falso
2898,Vero,VICENZA,HOTEL IL CANOVA,www.hotelilcanova.com,Falso,0444751278,SANDRIGO,Via Della Repubblica,info@hotelilcanova.com,Falso,Vero,Vero,Vero,Vero,Falso,Falso
2899,Vero,VICENZA,HOTEL PALLADIO,www.hotel-palladio.it,Falso,0444325347,VICENZA,Contrà Oratorio dei Servi,contact@hotel-palladio.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2900,Vero,VICENZA,HOTEL VIEST,www.viest.it,Falso,0444582677,VICENZA,Via U. Scarpelli,info@viest.it,Falso,Falso,Falso,Vero,Vero,Vero,Falso
2901,Vero,VICENZA,HOTEL VILLA CA' SETTE,www.ca-sette.it,Falso,0424383350,BASSANO DEL GRAPPA,Via Cunizza da Romano,info@ca-sette.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2902,Vero,VICENZA,LA PIEVE,www.lapievehotel.it,Vero,0444421201,CHIAMPO,Via Pieve,info@lapievehotel.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2903,Vero,VICENZA,LE NOVE HOTEL,www.lenovehotel.it,Falso,0424590947,NOVE,Via Rizzi,info@lenovehotel.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2904,Vero,VICENZA,LINTA PARK HOTEL,www.lintaparkhotel.com,Falso,0424462753,ASIAGO,Via Linta,info@lintaparkhotel.com,Falso,Vero,Vero,Falso,Vero,Vero,Vero
2905,Vero,VICENZA,MAGNOLIA HOTEL,www.hmagnolia.com,Falso,0444414222,GRISIGNANO DI ZOCCO,Via Mazzini,info@hmagnolia.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2906,Vero,VICENZA,MELTAR BOUTIQUE HOTEL,www.meltarhotel.com,Falso,0424464939 - 0424460626,ASIAGO,Via Meltar,info@meltarhotel.com,Falso,Vero,Vero,Falso,Falso,Falso,Falso
2907,Vero,VICENZA,NUOVO MIRAMONTI,www.hotelmiramonti.com,Falso,0445529900,SCHIO,Via Marconi,info@hotelmiramonti.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2908,Vero,VICENZA,TRETTENERO,www.hoteltrettenero.it,Falso,0445780380,RECOARO TERME,Via V. Emanuele,info@hoteltrettenero.it,Falso,Vero,Falso,Falso,Vero,Falso,Falso
2909,Vero,VICENZA,VICENZA TIEPOLO HOTEL,,Falso,0444042930,VICENZA,Viale San Lazzaro,info@vicenzatiepolohotel.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2910,Vero,VICENZA,VICTORIA,www.hotelvictoriavicenza.com,Falso,0444912299,VICENZA,Strada Padana verso PD,info@hotelvictoriavicenza.com,Falso,Vero,Falso,Vero,Falso,Vero,Falso
2911,Vero,VICENZA,VILLA MICHELANGELO,www.hotelvillamichelangelo.com,Falso,0444550300,ARCUGNANO,Via Sacco,reservation.michelangelo@royaldemeure.com,Falso,Falso,Falso,Vero,Vero,Vero,Vero
2912,Vero,VICENZA,VILLA SOLARIS,www.villasolaris.it,Falso,0424560812,TEZZE SUL BRENTA,Via San Pio X,info@villasolaris.it,Falso,Falso,Vero,Vero,Vero,Vero,Vero
2913,Vero,VICENZA,GAARTEN,www.gaartenhotel.it,Falso,0424445102,GALLIO,Via Kanotole,info@hotelgaarten.com,Falso,Vero,Vero,Falso,Vero,Vero,Vero
2914,Vero,VICENZA,HOTEL DE LA VILLE,www.hoteldelavillevicenza.com,Falso,0444549049,VICENZA,Viale Verona,info@hoteldelavillevicenza.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2915,Vero,VICENZA,LA BARCHESSA DI VILLA PISANI,www.labarchessadivillapisani.it,Vero,0444831207,LONIGO,VIA RISAIE,info@labarchessadivillapisani.it,Falso,Falso,Vero,Vero,Vero,Vero,Falso
2916,Vero,VICENZA,LA BOCCHETTA,www.labocchetta.it,Falso,0424704117,CONCO,Via Bocchetta,labocchetta@labocchetta.it,Falso,Vero,Vero,Vero,Vero,Vero,Vero
2917,Vero,VICENZA,PALACE HOTEL LA CONCHIGLIA D'ORO,www.laconchigliadoro.it,Falso,04441429771 - 0444504202,VICENZA,Via Bassano,info@laconchigliadoro.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2918,Vero,VICENZA,SCHIO HOTEL,www.schiohotel.it,Falso,0445675611,SCHIO,Via Campagnola,info@schiohotel.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2919,Vero,VICENZA,VERGILIUS HOTEL SPA AND BUSINESS RESORT,www.vergilius.it,Falso,0444523922,CREAZZO,Via Carpaneda,info@vergilius.it,Falso,Vero,Vero,Vero,Vero,Vero,Falso
2920,Vero,VICENZA,DA PORTO (DEPANDANCE),www.hoteldaporto.com,Falso,0444964848,VICENZA,Viale del Sole,info@hoteldaporto.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2921,Vero,VICENZA,DUCA D'ESTE,www.ducadeste.net,Falso,0445540210,SANTORSO,Via Giuseppe Caselin,info@ducadeste.net,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2922,Vero,VICENZA,SPORTING DEPENDANCE,www.sportingasiago.com,Falso,0424462177,ASIAGO,Viale Matteotti,info@sportingasiago.com,Falso,Vero,Vero,Falso,Vero,Vero,Vero
2923,Falso,VICENZA,SPORTING RESIDENCE HOTEL,www.sportingasiago.com,Falso,0424462177,ASIAGO,Piazzetta G.B Pertile,info@sportingasiago.com,Falso,Vero,Vero,Falso,Vero,Vero,Vero
2924,Falso,VICENZA,CASA SUL BRENTA,,Falso,0424558250,SOLAGNA,Via Trento,info@ivanteam.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2925,Falso,VICENZA,ASSOCIAZIONE PICCOLE DOLOMITI,www.piccoledolomiti.it,Falso,0445/76030,RECOARO TERME,Strada Lesena,piccoledolomiti@piccoledolomiti.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2926,Falso,VICENZA,CASA ALPINA DOLOMITI,,Falso,0445593060  - 0445621034,VALLI DEL PASUBIO,Via Dolomiti,,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2927,Falso,VICENZA,CASA BELLAVISTA,,Falso,0495744007 - 0445749549,TONEZZA DEL CIMONE,Via dei Finanzieri,,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2928,Falso,VICENZA,CASA MATER AMABILIS,,Falso,0444545275,VICENZA,Via Risorgimento,vicenza@figliedellachiesa.org,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2929,Falso,VICENZA,CASA S. BASTIANO,,Falso,0444321986,VICENZA,Via Tiepolo,casasanbastiano@myviatek.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2930,Falso,VICENZA,CASA SOGGIORNO ELICA,,Falso,,ROANA,Via Verenetta,,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2931,Falso,VICENZA,CENTRO DI PREPARAZIONE OLIMPICA,http://schio.coni.it,Falso,0445524165,SCHIO,Via Riboli,schio@coni.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2932,Falso,VICENZA,CONVITTO FEMMINILE LEVIS PLONA,,Falso,0444322781,VICENZA,Contrada Porta Santa Croce,amministrazione@levisplona.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2933,Falso,VICENZA,ISTITUTO CANOSSIANO,,Falso,0424462066,ASIAGO,Via Fiume,,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2934,Falso,VICENZA,ISTITUTO CANOSSIANO,,Falso,0445521044,SCHIO,Via Fusinato,bakhita@fdcc.org,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2935,Falso,VICENZA,ISTITUTO CANOSSIANO (SS. TRINITÀ),,Falso,0424503643,BASSANO DEL GRAPPA,Via SS. Trinità,fdccbassano@libero.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2936,Falso,VICENZA,ISTITUTO DON CALABRIA,,Falso,0424445090,GALLIO,Via Sacello,doncalabria.gallio@Gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2937,Falso,VICENZA,ISTITUTO SCALABRINI,www.scalabrinibassano.it,Falso,0424503054,BASSANO DEL GRAPPA,Via Scalabrini,ospitalita@scalabrinibassano.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2938,Falso,VICENZA,PALAZZO ZELOSI,,Falso,0424525993,BASSANO DEL GRAPPA,Viale Dei Martiri,info@palazzozelosi.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2939,Falso,VICENZA,PENSIONATO STUDENTI MADONNA DI MONTE BERICO,,Falso,0444543830,VICENZA,Contrà San Marco,pensionatostudenti@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2940,Falso,VICENZA,SCOIATTOLO,www.scoiattoloasiago.it,Falso,0424462086,ASIAGO,Via Rendola,info@scoiattoloasiago.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2941,Falso,VICENZA,VILLA GIOVANNA,,Falso,0424445053,GALLIO,Via  Campo,congregazione@orsolinescm.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2942,Falso,VICENZA,VILLA SAN FERMO,,Falso,0444830067,LONIGO,Via San Fermo,villa.sanfermo@pavoniani.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2943,Vero,VICENZA,VILLA SARACENO,www.landmarktrust.org.uk,Falso,0415222481,AGUGLIARO,Via Finale,landmarktrust.italia@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2944,Falso,VICENZA,AL SOLIVO,,Falso,04445635278 - 04445635180,SCHIO,Via Centro,,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2945,Falso,VICENZA,CASA ALPINA LUCIA POVELATO,,Falso,041640555,GALLIO,Via Gianesini di Sotto,casaalpinagallio@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2946,Falso,VICENZA,"CASA ""GIOVANNI PAOLO II""",,Vero,044577099,RECOARO TERME,Via Fongara,parrocchiaspiox@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2947,Falso,VICENZA,CASA SANT'ANTONIO,www.santantonio-valgiardini.org,Falso,3488784922 - 3494639734 - 0424462284,ASIAGO,Via Valgiardini,info@santantonio-valgiardini.org,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2948,Falso,VICENZA,CORTE ALTA DON PIETRO FRANCHETTI,,Falso,0445635176-0445635229,SCHIO,Contrà Dalla Guarda - Loc. S. Rocco di Tretto,,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2949,Falso,VICENZA,MALGA PECCA,,Falso,3482245381,LUSIANA,,info@parrocchiasantostefano.org,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2950,Falso,VICENZA,VILLAGGIO TABOR,,Falso,0424816070,CAMPOLONGO SUL BRENTA,Via Ronco del Fio - Località Rubbio,info.villaggiotabor@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2951,Falso,VICENZA,ANNA MARIA TAIGI,www.lecase.acvicenza.it,Falso,0444544599 - 0445749068,TONEZZA DEL CIMONE,Contrà Via,lecase@acvicenza.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2952,Falso,VICENZA,CASA NAZARETH,,Falso,0445531680,SCHIO,Via Leonardo da Vinci,amministrazione@reginadellamore.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2953,Vero,VICENZA,CASA PROVVIDENZA,,Falso,0444513523,VICENZA,Stradella delle Cappuccin,congrega92@casaprovvidenza.191.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2954,Falso,VICENZA,CASA SACRO CUORE,www. sdvi.org (casa di spiritualità),Vero,0444505265,VICENZA,Corso Padova,casasacrocuore@alice.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2955,Falso,VICENZA,CONVITTO GIOVANNA MENEGHINI,,Falso,0444323382,VICENZA,Via San Francesco Vecchio,convitto@orsolinescm.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2956,Vero,VICENZA,FANCIULLO GESU',www.lecase.acvicenza.it,Falso,0445749062 - 0444544599,TONEZZA DEL CIMONE,Contra' Campana,lecase@acvicenza.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2957,Falso,VICENZA,ISTITUTO SANTA DOROTEA,,Falso,0445361533,THIENE,Via Corradini,,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2958,Falso,VICENZA,VILLA COMELLO,www.camillianimottinello.it,Falso,0424540944,ROSSANO VENETO,Via Mottinello,padricamilliani@tiscalinet.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2959,Falso,VICENZA,VILLA SAN CARLO,,Falso,0444971031,COSTABISSARA,Via San Carlo,villasancarlo@infinito.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2960,Falso,VICENZA,OLIMPICO,www.ostellovicenza.com,Falso,0444540222,VICENZA,Viale Giuriolo,info@ostellovicenza.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2961,Falso,VICENZA,OSTELLO DON CREMONA,www.ostellobassanodelgrappa.it,Falso,0424219137,BASSANO DEL GRAPPA,Via Chini,amministrazione@ostellobassanodelgrappa.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2962,Falso,VICENZA,OSTELLO FRATELLI FIORENTINI,,Falso,0498641004,LASTEBASSE,Via Roma,prenotazioni@lastebasse.org,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2963,Falso,VICENZA,3 LASAGNE,,Falso,3386138508,LONIGO,VIA CA' LASAGNA,mmpbolla@libero.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2964,Falso,VICENZA,ACAMPORA LUIGI,www.albergoacampora.it,Falso,0444504467,VICENZA,Viale della Pace,info@albergoacampora.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2965,Falso,VICENZA,ALLOGGI CALIERONI,,Falso,,VALSTAGNA,via Val Frenzela,,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2966,Falso,VICENZA,ALLOGGI FORTUNA,,Falso,0444566317,VICENZA,Via Medici,,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2967,Vero,VICENZA,ALLOGGIO ACERI,www.daigelosi.it,Falso,0444357438,QUINTO VICENTINO,Via Aldo Moro,ristorantedaigelosi@libero.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2968,Falso,VICENZA,ALLOGGIO CENTRALE,,Falso,0444566317,VICENZA,Via Battaglione Monte Berico,,Falso,Falso,Falso,Falso,Vero,Falso,Falso
2969,Falso,VICENZA,ALLOGGIO DIAMANTE,,Falso,0444566317,VICENZA,Viale San Lazzaro,,Falso,Falso,Falso,Falso,Vero,Falso,Falso
2970,Vero,VICENZA,ALLOGGIO ELENA,www.albergoacampora.it,Falso,0444504467,VICENZA,VIALE DELLA PACE,info@albergoacampora.it,Falso,Falso,Falso,Falso,Vero,Falso,Falso
2971,Vero,VICENZA,ALLOGGIO MAGNOLIA,www.daigelosi.it,Falso,0444357438,QUINTO VICENTINO,Via Aldo Moro,ristorantedaigelosi@libero.it,Vero,Falso,Falso,Vero,Falso,Falso,Falso
2972,Falso,VICENZA,CASA ERMINIA,,Falso,042466124,ROANA,Via Maggiore,,Falso,Falso,Falso,Falso,Vero,Falso,Falso
2973,Falso,VICENZA,CASA PAK,,Falso,042466124,ROANA,Via Maggiore,,Falso,Falso,Falso,Falso,Vero,Falso,Falso
2974,Vero,VICENZA,CORTE TRAMBAI,www.residencelamason.it,Falso,0444445167,GAMBELLARA,Via Cava,info@residencelamason.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2975,Vero,VICENZA,DA CANE',,Falso,0445602483,MALO,Via Borgo,pizzeriadaerika@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2976,Vero,VICENZA,DIMORA COLONNA,,Falso,0444750565,VICENZA,Contrà San Tommaso,vicenza@ledimoredelconte.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2977,Vero,VICENZA,I GIRASOLI,www.residenzaigirasoli.it,Falso,3384477653,MASON VICENTINO,Via Oppio,info@residenzaigirasoli.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2978,Falso,VICENZA,IL CANTICO,www.ilcantico-alonte.it,Falso,0444833232 cell. +039 3467758567,ALONTE,VIA SAN FELICIANO,,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2979,Vero,VICENZA,KOT HAUS,,Falso,042466124,ROANA,Via Ciclamini,,Falso,Falso,Falso,Falso,Vero,Falso,Falso
2980,Vero,VICENZA,LE DIMORE DEL CONTE,www.ledimoredelconte.it,Falso,0444750565,VICENZA,Piazza Castello,vicenza@ledimoredelconte.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2981,Vero,VICENZA,LE QUERCE,,Falso,0445951099,SCHIO,Via Campagnola,amministrativo@massignani.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2982,Vero,VICENZA,PICCOLO BRENNERO,www.hotelbrennero.com,Falso,0424228538,BASSANO DEL GRAPPA,Via Vaccari,info@hotelbrennero.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2983,Vero,VICENZA,RESIDENZA AI PINI,,Falso,042466124,ROANA,Via Maggiore,,Falso,Falso,Falso,Falso,Vero,Falso,Falso
2984,Vero,VICENZA,RESIDENZA ANITA,,Falso,0444565333,VICENZA,Strada Padana verso VR,pencos.srl@pencos.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2985,Vero,VICENZA,RESIDENZA LA MASON,www.residencelamason.it,Falso,0444445167,MONTEBELLO VICENTINO,Contrada Mason,info@residencelamason.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2986,Vero,VICENZA,VILLA SAN BASTIAN,www.sanbastiano.it,Falso,0444321625 - 3386807177,VICENZA,Via San Bastiano,villasanbastiano@gmail.com,Falso,Falso,Falso,Vero,Vero,Vero,Falso
2987,Vero,VICENZA,3 FONTANE,,Falso,0445220028,THIENE,VIA GIOBERTI,beb.3fontane@gmail.com,Falso,Falso,Falso,Falso,Vero,Falso,Falso
2988,Falso,VICENZA,A CASA MIA B&B,www.bbacasamia.com,Falso,3403519954,MAROSTICA,Via Ca' Brusa,riki.criscuolo@hotmail.it,Falso,Falso,Falso,Falso,Vero,Falso,Falso
2989,Falso,VICENZA,AGLI OLIVI,www.agliolivi.net,Falso,3409285009,BASSANO DEL GRAPPA,Via dei Prati,crisasso3@gmail.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
2990,Vero,VICENZA,AI CILIEGI,,Falso,0424503925 - 3397909883,BASSANO DEL GRAPPA,Via Golini,aiciliegi@gmail.com,Falso,Falso,Falso,Falso,Vero,Falso,Falso
2991,Vero,VICENZA,AI TRE ARCHI,aitrearchi@blogspot.com,Falso,0424780619 - 0424828368 - 3471013826,NOVE,Via Venere,aitrearchi@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2992,Falso,VICENZA,AI TRE DAINI,www.aitredaini.com,Falso,0444510407 - 3490514800,VICENZA,Via Coltura del Tesina,info@aitredaini.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2993,Vero,VICENZA,ALBERTA B&B,,Falso,0444910311 - 3887418750,VICENZA,Strada Ca'Balbi,fiorella.tonello@tonelloviaggi.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2994,Falso,VICENZA,ALL' ANTICO BROLO,www.anticobrolo.com,Falso,0444507511,VICENZA,Via Saviabona,info@anticobrolo.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2995,Vero,VICENZA,ALLA PERGOLA,www.allapergola.net,Falso,0444985540,CALDOGNO,Vicolo Don A. Menin,info@allapergola.net,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2996,Vero,VICENZA,ALLA VITE,,Falso,3456972547 - 3464705734 - 0444021776,VICENZA,Via Fasolo,desbori@libero.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
2997,Falso,VICENZA,AL MAJO,,Falso,3277466707,CALVENE,VIA DELL'EMIGRANTE,laura.carollo17@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2998,Falso,VICENZA,AL PONTE B&B,,Falso,0445630081,VALLI DEL PASUBIO,Via Ponte Croce,andreamarcante1@virgilio.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
2999,Vero,VICENZA,AL RUSTICO DI ANCIGNANO,www.alrusticodiancignano.it,Falso,0444658100,SANDRIGO,Via Guarniere,igorcaccia@alice.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
3000,Falso,VICENZA,AL VECCHIO ULIVO,www.alvecchioulivo.it,Falso,3481094104,ALTAVILLA VICENTINA,Via Torino,info@alvecchioulivo.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
3001,Falso,VICENZA,ANAIS BED & BREAKFAST,www.anaisbb.com,Falso,3487295257,VICENZA,Via Trissino,koleva.rada@gmail.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
3002,Vero,VICENZA,ANNA MARIA B&B,,Falso,0444530385,VICENZA,Strada Longara,info@mattielloscavi.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
3003,Vero,VICENZA,ANTICA CORTE LEGUZZANO,wwwbbleguzzano.it,Falso,3486543498,SAN VITO DI LEGUZZANO,VIA GONZI,anticacorteleguzzano@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
3004,Falso,VICENZA,ASIAGO CASA MIA B&B,,Falso,3398589621,ASIAGO,Via Rigoni di Sotto,casamia.asiago@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
3005,Vero,VICENZA,BASSIANO BED AND BREAKFAST,,Falso,042434098 - 3394524447,BASSANO DEL GRAPPA,Via Motton,bassianobb@libero.it,Falso,Falso,Falso,Falso,Vero,Falso,Falso
